epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,21.141,2.24875,0.4188,0.86325,1.94804,0.00019992,0.00019992,0.00019992
2,43.9569,1.73244,0.74359,0.95726,1.22512,0.000402951,0.000402951,0.000402951
3,66.2842,1.1338,0.83761,0.96581,0.70001,0.000601882,0.000601882,0.000601882
4,88.2052,0.718,0.87179,0.98291,0.41417,0.000692794,0.000692794,0.000692794
5,110.5,0.52512,0.91453,0.97436,0.28903,0.000685726,0.000685726,0.000685726
6,132.758,0.3841,0.90598,0.98291,0.29484,0.000678657,0.000678657,0.000678657
7,155.487,0.3034,0.92308,1,0.25857,0.000671588,0.000671588,0.000671588
8,176.994,0.25924,0.94017,1,0.18582,0.00066452,0.00066452,0.00066452
9,197.729,0.21206,0.94017,1,0.18455,0.000657451,0.000657451,0.000657451
10,218.453,0.17479,0.94017,1,0.18451,0.000650383,0.000650383,0.000650383
11,241.526,0.1428,0.95726,0.99145,0.14979,0.000643314,0.000643314,0.000643314
12,261.913,0.14225,0.96581,0.99145,0.13119,0.000636245,0.000636245,0.000636245
13,282.915,0.16587,0.95726,0.99145,0.1713,0.000629177,0.000629177,0.000629177
14,304.978,0.17155,0.94872,1,0.15002,0.000622108,0.000622108,0.000622108
15,325.795,0.15398,0.94872,1,0.18334,0.00061504,0.00061504,0.00061504
16,346.09,0.11481,0.94872,1,0.16094,0.000607971,0.000607971,0.000607971
17,366.766,0.11761,0.94872,1,0.16165,0.000600902,0.000600902,0.000600902
18,388.347,0.09648,0.94872,1,0.151,0.000593834,0.000593834,0.000593834
19,411.483,0.10088,0.95726,1,0.17304,0.000586765,0.000586765,0.000586765
20,432.514,0.1383,0.95726,1,0.17715,0.000579697,0.000579697,0.000579697
21,455.109,0.0863,0.96581,1,0.15828,0.000572628,0.000572628,0.000572628
22,477.769,0.09881,0.96581,1,0.19595,0.000565559,0.000565559,0.000565559
23,500.781,0.09077,0.95726,1,0.18234,0.000558491,0.000558491,0.000558491
24,523.55,0.05962,0.96581,1,0.15743,0.000551422,0.000551422,0.000551422
25,544.468,0.05765,0.96581,1,0.13395,0.000544354,0.000544354,0.000544354
26,566.688,0.07553,0.96581,1,0.13657,0.000537285,0.000537285,0.000537285
27,587.513,0.06436,0.97436,1,0.12035,0.000530216,0.000530216,0.000530216
28,608.338,0.07501,0.97436,1,0.12614,0.000523148,0.000523148,0.000523148
29,629.512,0.07217,0.97436,1,0.15666,0.000516079,0.000516079,0.000516079
30,650.356,0.06021,0.96581,1,0.13322,0.000509011,0.000509011,0.000509011
31,671.053,0.06605,0.95726,1,0.11166,0.000501942,0.000501942,0.000501942
32,692.037,0.06839,0.95726,0.99145,0.14519,0.000494873,0.000494873,0.000494873
33,712.978,0.05639,0.94872,0.99145,0.14046,0.000487805,0.000487805,0.000487805
34,733.488,0.0818,0.96581,0.99145,0.15926,0.000480736,0.000480736,0.000480736
35,755.046,0.09617,0.94872,1,0.19832,0.000473668,0.000473668,0.000473668
36,778.708,0.06107,0.93162,1,0.23565,0.000466599,0.000466599,0.000466599
37,799.901,0.07154,0.94872,1,0.19042,0.00045953,0.00045953,0.00045953
38,824.992,0.05255,0.94872,1,0.16826,0.000452462,0.000452462,0.000452462
39,849.026,0.05433,0.97436,1,0.14305,0.000445393,0.000445393,0.000445393
40,874.502,0.05518,0.96581,1,0.15852,0.000438325,0.000438325,0.000438325
41,910.51,0.06064,0.96581,1,0.17849,0.000431256,0.000431256,0.000431256
42,932.946,0.08034,0.96581,1,0.17039,0.000424187,0.000424187,0.000424187
43,954.635,0.05012,0.96581,1,0.14374,0.000417119,0.000417119,0.000417119
44,977.464,0.03178,0.96581,1,0.12481,0.00041005,0.00041005,0.00041005
45,999.111,0.03782,0.98291,1,0.13637,0.000402982,0.000402982,0.000402982
46,1021.07,0.0385,0.98291,1,0.13921,0.000395913,0.000395913,0.000395913
47,1043.2,0.04109,0.98291,1,0.11738,0.000388844,0.000388844,0.000388844
48,1066.74,0.04683,0.97436,1,0.11935,0.000381776,0.000381776,0.000381776
49,1088.57,0.03137,0.96581,1,0.12924,0.000374707,0.000374707,0.000374707
50,1111.09,0.04177,0.96581,1,0.15178,0.000367639,0.000367639,0.000367639
51,1132.12,0.07237,0.96581,1,0.16764,0.00036057,0.00036057,0.00036057
52,1155.4,0.05269,0.96581,1,0.18913,0.000353501,0.000353501,0.000353501
53,1177.56,0.03687,0.96581,1,0.17309,0.000346433,0.000346433,0.000346433
54,1200.7,0.08061,0.95726,1,0.18203,0.000339364,0.000339364,0.000339364
55,1228,0.04181,0.97436,1,0.13873,0.000332296,0.000332296,0.000332296
56,1282.56,0.03489,0.94872,1,0.15684,0.000325227,0.000325227,0.000325227
57,1309.6,0.0387,0.95726,1,0.15633,0.000318158,0.000318158,0.000318158
58,1333.48,0.05627,0.96581,1,0.15502,0.00031109,0.00031109,0.00031109
59,1356.13,0.03076,0.94872,1,0.14504,0.000304021,0.000304021,0.000304021
60,1378.91,0.05961,0.94872,1,0.1565,0.000296953,0.000296953,0.000296953
61,1400.66,0.04785,0.95726,1,0.13524,0.000289884,0.000289884,0.000289884
62,1422.95,0.0584,0.95726,1,0.13098,0.000282815,0.000282815,0.000282815
63,1445.17,0.04721,0.97436,1,0.12247,0.000275747,0.000275747,0.000275747
64,1475.13,0.04804,0.96581,1,0.14745,0.000268678,0.000268678,0.000268678
65,1504.83,0.07081,0.96581,1,0.12861,0.00026161,0.00026161,0.00026161
